"2020년 09월 08일 13시","○","서울","동대문구","경희의료원","서울 동대문구 경희대로 23","08:30 ~ 17:00","08:30 ~ 12:00","미운영","958-8114",37.5954,127.053
"2020년 09월 08일 13시","○","서울","동작구","동작구보건소","서울 동작구 상도2동 176-3","09:00 ~ 18:00","09:00 ~ 15:00","09:00 ~ 15:00","02-820-9465",37.5044,126.941
"2020년 09월 08일 13시","○","서울","동작구","서울특별시 보라매병원","동작구 보라매로5길 20","09:00 ~ 17:30","09:00 ~ 12:30","09:00 ~ 12:30","02-870-2114",37.4932,126.924
"2020년 09월 08일 13시","○","서울","마포구","마포구보건소","서울 마포구 성산동 370","09:00 ~ 18:00","09:00 ~ 13:00","09:00 ~ 13:00","02-3153-9037",37.5663,126.902
"2020년 09월 08일 13시","○","서울","서대문구","서대문구보건소","서울 서대문구 연희동  연희로242 (연희동 165-2)","09:00 ~ 18:00","09:00 ~ 13:00","09:00 ~ 13:00","02-330-1806",37.5786,126.936
"2020년 09월 08일 13시","○","서울","서대문구","세브란스병원","연세로 50-1","06:00 ~ 06:00","06:00 ~ 06:00","06:00 ~ 06:00","1599-1004",37.5641,126.939
"2020년 09월 08일 13시","○","서울","중구","서울중구보건소","서울 중구 신당동 50-5 중구보건소","09:00 ~ 18:00","09:00 ~ 16:00","09:00 ~ 16:00","02-3396-5181",37.5638,127.015
"2020년 09월 08일 13시","○","서울","중구","인제대학교서울백병원","서울 중구 마른내로 9 백병원","00:00 ~ 00:00","00:00 ~ 00:00","00:00 ~ 00:00","02-2270-0114",37.5649,126.989
"2020년 09월 08일 13시","○","서울","서초구","서초구보건소","서울 서초구 서초동(서초2동) 1376-3 서초구청 보건소","09:00 ~ 20:00","09:00 ~ 18:00","09:00 ~ 18:00","02-2155-8093",37.4836,127.033
"2020년 09월 08일 13시","○","서울","서초구","가톨릭대학교 서울성모병원","서울시 서초구 반포대로 222","-","-","-","02-1588-1511",37.5004,127.007
"2020년 09월 08일 13시","○","서울","서초구","서울특별시 어린이병원","서울특별시 서초구 헌릉로 260","10:00 ~ 15:00","미운영","미운영","02-570-8000",37.4555,127.069
"2020년 09월 08일 13시","○","서울","성동구","성동구보건소","서울 성동구 홍익동 (왕십리도선동) 16-15 성동구보건소","9:00 ~ 18:00","9:00 ~ 18:00","9:00 ~ 18:00","02-2286-7172",37.567,127.033
"2020년 09월 08일 13시","○","서울","성동구","한양대학교병원","서울특별시 성동구 왕십리로 222-1 (사근동)","09:00 ~ 17:00","09:00 ~ 12:00","미운영","02-2290-9880",37.5623,127.047
"2020년 09월 08일 13시","○","서울","성동구","성동군자의원","서울특별시 성동구 광나루로 323 송정빌딩 2층","09:00 ~ 18:00","미운영","미운영","02-499-7785",37.5484,127.066
"2020년 09월 08일 13시","○","서울","성북구","성북구보건소","서울 성북구 월곡제2동 46-1 성북구보건소 ","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-2241-5912",37.6026,127.04
"2020년 09월 08일 13시","○","서울","성북구","고려대학교의료원안암병원","고려대로73(안암동 5가)","09:00 ~ 16:00","09:00 ~ 12:30","미운영","02-920-5114",37.587,127.027
"2020년 09월 08일 13시","○","서울","송파구","송파구보건소","서울 송파구 신천동 29-5 송파구청_보건소","9:00 ~ 18:00","9:00 ~ 16:00","9:00 ~ 16:00","02-2147-3479",37.5145,127.107
"2020년 09월 08일 13시","○","서울","송파구","서울아산병원","올림픽로43길 88","8:00 ~ 17:00","8:00 ~ 17:00","8:00 ~ 17:00","02-3010-1038",37.5255,127.108
"2020년 09월 08일 13시","○","서울","송파구","경찰병원","송이로 123","9:00 ~ 16:00","미운영","미운영","02-3400-1114",37.4964,127.123
"2020년 09월 08일 13시","○","서울","양천구","양천구보건소","서울 양천구 신정동(신정6동) 321-5 양천보건소","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-2620-3856",37.5175,126.866
"2020년 09월 08일 13시","○","서울","양천구","이화여자대학교의과대학부속목동병원","서울 양천구 안양천로 1071","09:00 ~ 16:30","미운영","미운영","02-1666-5000",37.5364,126.886
"2020년 09월 08일 13시","○","서울","양천구","서울특별시 서남병원","양천구 신정이펜1로 20","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","1566-6688",37.5124,126.833
"2020년 09월 08일 13시","○","서울","양천구","홍익병원","서울 양천구 목동로 225 ","09:00 ~ 17:00","09:00 ~ 13:00","미운영","02-2693-5555",37.5284,126.864
"2020년 09월 08일 13시","○","서울","영등포구","영등포구보건소","서울 영등포구 당산동3가(당산제1동) 385-1 영등포구청 영등포구보건소","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-2670-4953",37.5265,126.896
"2020년 09월 08일 13시","○","서울","영등포구","한림대학교 강남성심병원","서울특별시 영등포구 신길로 1","08:30 ~ 16:30","08:30 ~ 11:30","미운영","1577-5587",37.4928,126.909
"2020년 09월 08일 13시","○","서울","영등포구","의료법인 성애병원","서울특별시 영등포구 여의대방로 53길22","09:00 ~ 17:00","미운영","미운영","02-840-7115",37.512,126.922
"2020년 09월 08일 13시","X","서울","영등포구","명지성모병원","서울특별시 영등포구도림로 156","09:00 ~ 17:00","09:00 ~ 12:00","미운영","02-829-7800",37.4938,126.899
"2020년 09월 08일 13시","○","서울","영등포구","가톨릭대학교 여의도성모병원","서울특별시 영등포구 63로 10","08:30 ~ 16:30","미운영","미운영","1661-7575",37.518,126.936
"2020년 09월 08일 13시","○","서울","용산구","용산구보건소","서울 용산구 이태원동 34-87","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-2199-6300",37.5324,126.99
"2020년 09월 08일 13시","○","서울","용산구","순천향대학교서울병원","용산구 대사관로 59(한남동)","08:30 ~ 17:00","08:30 ~ 12:00","미운영","02-709-9114",37.5339,127.004
"2020년 09월 08일 13시","○","서울","은평구","은평구보건소","서울 은평구 녹번동 84 은평구종합청사 은평구보건소","09:00 ~ 18:00","09:00 ~ 13:00","09:00 ~ 13:00","02-351-8640(~1)",37.6025,126.929
"2020년 09월 08일 13시","○","서울","은평구","은평성모병원","은평구 통일로1021","08:30 ~ 16:30","미운영","미운영","1811-7755",37.6332,126.92
"2020년 09월 08일 13시","○","서울","은평구","서울특별시립 서북병원","은평구 갈현로7길 49","09:00 ~ 18:00","14:00 ~ 18:00","미운영","02-3156-3022",37.6042,126.905
"2020년 09월 08일 13시","○","서울","은평구","서울특별시 은평병원","은평구 백련산로 90","10:00 ~ 17:00","미운영","미운영","02-300-8060",37.5938,126.924
"2020년 09월 08일 13시","○","서울","은평구","청구성심병원","서울 은평구 통일로 873","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","02-383-0129",37.6207,126.919
"2020년 09월 08일 13시","○","서울","종로구","종로구보건소","서울 종로구 옥인동(청운효자동) 45-30 종로구보건소","09:00 ~ 18:00","09:00 ~ 16:00","09:00 ~ 16:00","02-2148-3557",37.5818,126.969
"2020년 09월 08일 13시","○","서울","종로구","강북삼성병원","서울시 종로구 평동 108","07:30 ~ 17:30","07:30 ~ 12:00","미운영","02-2001-1896",37.5679,126.966
"2020년 09월 08일 13시","○","서울","종로구","서울적십자병원","서울시 종로구 평동 164","09:00 ~ 17:00","미운영","미운영","02-2002-8650",37.5671,126.967
"2020년 09월 08일 13시","○","서울","중랑구","중랑구보건소","서울 중랑구 신내2동 662 중랑구청 ","09:00 ~ 18:00","09:00 ~ 15:00","09:00 ~ 15:00","02-2094-0800",37.6066,127.093
"2020년 09월 08일 13시","○","서울","중랑구","서울의료원","중랑구 신내로 156","09:00 ~ 22:00","09:00 ~ 22:00","09:00 ~ 22:00","02-2276-8333",37.613,127.098
"2020년 09월 08일 13시","○","부산","강서구","부산강서구보건소","부산 강서구 대저2동 1932-1 강서브라이트센터 보건소","09:00 ~ 18:00","9:00 ~ 14:00","09:00 ~ 14:00","051-970-3415",35.1804,128.957
"2020년 09월 08일 13시","○","부산","강서구","의료법인 갑을녹산재단 갑을녹산병원","녹산산단321로 24-8","09:00 ~ 17:00","09:00 ~ 12:00","미운영","051-974-8449",35.0906,128.853
"2020년 09월 08일 13시","○","부산","금정구","금정구보건소","부산광역시 금정구 부곡3동 78","09:00 ~ 18:00","09:00 ~ 13:00","09:00 ~ 13:00","051-519-5051",35.2428,129.092
"2020년 09월 08일 13시","○","부산","금정구","세웅병원","부산광역시 금정구 서동로 162(서동)","09:00 ~ 17:30","09:00 ~ 12:30","미운영","051-500-9700",35.2144,129.104
"2020년 09월 08일 13시","○","부산","기장군","기장군보건소","부산광역시 기장군 기장읍 기장대로 560","09:00 ~ 18:00","14:00 ~ 18:00","14:00 ~ 18:00","051-709-4812",35.2435,129.223
"2020년 09월 08일 13시","○","부산","기장군","동남권원자력의학원","부산광역시 기장군 장안읍 좌동길 40","08:30 ~ 17:30","08:30 ~ 12:30","08:30 ~ 12:30","051-720-5114",35.3215,129.244
"2020년 09월 08일 13시","○","부산","기장군","기장병원","부산광역시 기장군 기장읍 대청로72번길 6","09:00 ~ 17:00","09:00 ~ 13:00","미운영","051-723-0171",35.2359,129.216
"2020년 09월 08일 13시","○","부산","동래구","동래구보건소","부산 동래구 명륜2동 702-54번지 ","09:00 ~ 17:00","09:00 ~ 13:00","09:00 ~ 13:00","051-555-4000",35.2114,129.08
"2020년 09월 08일 13시","○","부산","동래구","대동병원","동래구 충렬대로187","09:00 ~ 16:00","09:00 ~ 11:30","미운영","051-554-1233",35.2045,129.08
"2020년 09월 08일 13시","○","부산","남구","부산남구보건소","부산 남구 대연6동 1268-3 ","09:00 ~ 18:00","09:00 ~ 14:00","09:00 ~ 14:00","051-607-6460",35.1361,129.085
"2020년 09월 08일 13시","○","부산","남구","부산성모병원","부산시 남구 용호로 232번길 25-14","09:00 ~ 16:00","09:00 ~ 12:00","미운영","051-933-7119",35.1102,129.109
"2020년 09월 08일 13시","○","부산","동구","부산동구보건소","부산 동구 수정동(수정제2동) 806-74 동구청 보건소","09:00 ~ 18:00","09:00 ~ 14:00","09:00 ~ 14:00","051-440-6500",35.1293,129.045
"2020년 09월 08일 13시","○","부산","동구","좋은문화병원","부산광역시 동구 범일로 119(범일동)","09:00 ~ 17:00","09:00 ~ 13:00","미운영","051-644-2002",35.1407,129.059
"2020년 09월 08일 13시","○","부산","동구","김원묵기념봉생병원","부산광역시 동구 중앙대로 401(좌천동)","09:00 ~ 12:00","09:00 ~ 12:00","미운영","051-664-4000",35.135,129.055
"2020년 09월 08일 13시","○","부산","북구","부산북구보건소","부산 북구 금곡대로 348 ","09:00 ~ 18:00","09:00 ~ 14:00","09:00 ~ 14:00","051-309-4500",35.2392,129.015
"2020년 09월 08일 13시","○","부산","북구","부민병원","부산 북구 만덕대로 59","09:00 ~ 17:00","09:00 ~ 13:00","미운영","051-330-3000",35.212,129.011
"2020년 09월 08일 13시","X","부산","북구","구포성심병원","부산 북구 낙동대로 1786(구포동) ","08:30 ~ 17:00","08:30 ~ 12:30","미운영","051-330-2001",35.2096,129.005
"2020년 09월 08일 13시","○","부산","서구","부산서구보건소","부산 서구 부용동2가(부민동) 86 서구보건소 부민노인복지관","09:00 ~ 18:00","14:00 ~ 18:00","14:00 ~ 18:00","051-240-4891",35.1075,129.018
"2020년 09월 08일 13시","○","부산","서구","동아대학교병원","대신공원로 26","08:00 ~ 17:00","미운영","미운영","051-240-5085",35.1203,129.018
"2020년 09월 08일 13시","○","부산","서구","고신대학교복음병원","부산광역시 서구 암남동 감천로 262","08:30 ~ 17:00","미운영","미운영","051-990-3233",35.0808,129.014
"2020년 09월 08일 13시","○","부산","서구","삼육부산병원","부산광역시 서구 서대신동2가 대티로 170","08:30 ~ 17:00","미운영","미운영","051-600-7575",35.1125,129.011
"2020년 09월 08일 13시","○","부산","중구","부산중구보건소","부산 중구 대청동1가 중구청 중구로 120","09:00 ~ 18:00","09:00 ~ 14:00","09:00 ~ 14:00","051-600-4962",35.1061,129.032
"2020년 09월 08일 13시","○","부산","중구","메리놀병원","중구로 121","11:00 ~ 17:00","11:00 ~ 12:30","미운영","051-461-2348(2300)",35.1073,129.032
"2020년 09월 08일 13시","○","부산","부산진구","부산진구보건소","부산 부산진구 범천동(범천제1동) 849-10 부산진보건소","09:00 ~ 18:00","09:00 ~ 14:00","09:00 ~ 14:00","051-645-4000",35.1463,129.06
"2020년 09월 08일 13시","○","부산","부산진구","인제대학교부산백병원","부산광역시 부산진구 개금동 복지로 75","09:00 ~ 16:00","00:00 ~ 24:00","00:00 ~ 24:00","051-890-8933",35.1463,129.021
"2020년 09월 08일 13시","X","부산","부산진구","온종합병원","가야대로 721","09:00 ~ 17:00","09:00 ~ 13:00","00:00 ~ 24:00","051-607-0139",35.1578,129.05
"2020년 09월 08일 13시","X","부산","부산진구","동의병원","부산광역시 부산진구 양정2동 양정로 62","08:30 ~ 17:30","08:30 ~ 12:30","00:00 ~ 24:00","051-850-8777",35.1705,129.077
"2020년 09월 08일 13시","X","부산","부산진구","춘해병원","중앙대로 605","06:30 ~ 17:00","06:30 ~ 13:00","00:00 ~ 24:00","051-608-0119",35.147,129.058
"2020년 09월 08일 13시","○","부산","사상구","사상구보건소","부산 사상구 감전동 138-8","09:00 ~ 18:00","09:00 ~ 14:00","09:00 ~ 14:00","051-310-4791",35.1524,128.992
"2020년 09월 08일 13시","○","부산","사상구","좋은삼선병원","부산 사상구 가야대로 326","09:00 ~ 16:00","09:00 ~ 12:00","미운영","051-322-0900",35.1501,129.008
"2020년 09월 08일 13시","○","부산","사상구","부산보훈병원","부산 사상구 백양대로 420 (주례동)","08:30 ~ 17:30","미운영","미운영","051-601-6000",35.1508,129.003
"2020년 09월 08일 13시","○","부산","사하구","사하구보건소","부산 사하구 신평2동 647-5","09:00 ~ 18:00","09:00 ~ 14:00","09:00 ~ 14:00","051-220-5741",35.0942,128.959
"2020년 09월 08일 13시","○","부산","수영구","수영구보건소","부산 수영구 광안1동 661-1번지","09:00 ~ 18:00","09:00 ~ 14:00","09:00 ~ 14:00","051-752-4000",35.1626,129.113
"2020년 09월 08일 13시","○","부산","수영구","좋은강안병원","부산 수영구 수영로 493","09:00 ~ 16:30","09:00 ~ 12:30","미운영","051-625-0900",35.15,129.11
"2020년 09월 08일 13시","○","부산","수영구","BHS한서병원","부산 수영구 수영로 615","15:30 ~ 17:30","미운영","미운영","051-756-0081",35.1609,129.113
"2020년 09월 08일 13시","○","부산","연제구","연제구보건소","부산 연제구 연산2동 연제로 2(연산2동 1555)","09:00 ~ 18:00","9:00 ~ 14:00","09:00 ~ 14:00","051-665-4781",35.1762,129.08
"2020년 09월 08일 13시","○","부산","영도구","영도구보건소","부산광역시 영도구 청학2동 48-3 영도구청","09:00 ~ 18:00","미운영","미운영","051-419-4931",35.0912,129.068
"2020년 09월 08일 13시","○","부산","영도구","영도병원","부산시 영도구 태종로 85","9:00 ~ 17:00","9:00 ~ 13:00","미운영","051-419-7873",35.0922,129.041
"2020년 09월 08일 13시","○","부산","영도구","해동병원","부산시 영도구 태종로 133(봉래동 3가)","8:30 ~ 17:00","미운영","미운영","051-410-6682",35.0945,129.044
"2020년 09월 08일 13시","○","부산","해운대구","해운대구보건소","부산 해운대구 좌2동 1339","09:00 ~ 17:30","14:00 ~ 17:30","14:00 ~ 17:30","051-746-4000",35.1641,129.179
"2020년 09월 08일 13시","○","부산","해운대구","해운대백병원","해운대로875","08:30 ~ 17:00","미운영","미운영","051-797-0100",35.1733,129.182
"2020년 09월 08일 13시","○","부산","해운대구","해운대부민병원","해운대로584","09:00 ~ 17:00","09:00 ~ 13:00","미운영","051-602-8000",35.1614,129.156
"2020년 09월 08일 13시","○","대구","달서구","달서구보건소","대구 달서구 월성동(월성2동) 281 달서구보건소","09:00 ~ 12:00","09:00 ~ 12:00","09:00 ~ 12:00","053-667-5751",35.8297,128.533
"2020년 09월 08일 13시","○","대구","달서구","계명대학교 동산병원","대구 달서구 달구벌대로 1035","09:00 ~ 12:00","미운영","미운영","1577-6622",35.8532,128.52
"2020년 09월 08일 13시","○","대구","달서구","삼일병원","대구 달서구 월배로 446","09:00 ~ 12:00","미운영","미운영","053-659-3100",35.8329,128.554
"2020년 09월 08일 13시","○","대구","달서구","구병원","대구 달서구 감삼북길 141","09:00 ~ 12:00","미운영","미운영","053-560-9114",35.8507,128.541
"2020년 09월 08일 13시","○","대구","달서구","세강병원","대구 달서구 구마로 220","09:00 ~ 12:00","미운영","미운영","053-215-6200",35.8367,128.552
"2020년 09월 08일 13시","○","대구","달성군","달성군 보건소","대구 달성군 현풍읍 하리 253-2 ","09:00 ~ 18:00","09:00 ~ 14:00","09:00 ~ 14:00","053-668-3333",35.6921,128.445
"2020년 09월 08일 13시","○","대구","남구","대구광역시 남구보건소","대구 남구 대명2동 2003번지(영선길 34)","09:00 ~ 18:00","9:00 ~ 13:00","9:00 ~ 13:00","053-664-3601",35.8539,128.592
"2020년 09월 08일 13시","○","대구","남구","영남대학교 병원","대구 남구 현충로 170","08:30 ~ 13:00","미운영","미운영","053-620-3177",35.847,128.583
"2020년 09월 08일 13시","○","대구","남구","대구가톨릭대학교 병원","대구 남구 두류공원로17길 33","08:30 ~ 17:30","08:30 ~ 12:30","미운영","053-650-4194",35.8438,128.567
"2020년 09월 08일 13시","○","대구","남구","드림병원","대구 남구 대명로 153","08:30 ~ 17:30","08:30 ~ 12:30","미운영","053-640-8800",35.8396,128.574
"2020년 09월 08일 13시","○","대구","동구","대구광역시 동구보건소","대구 동구 검사동(동촌동) 1005-8 동구보건소","09:00 ~ 18:00","09:00 ~ 16:00","09:00 ~ 16:00","053-662-3225",35.8881,128.651
"2020년 09월 08일 13시","○","대구","동구","대구파티마병원","대구광역시 동구 아양로 99","09:00 ~ 17:00","09:00 ~ 12:00","미운영","053-940-7098",35.884,128.624
"2020년 09월 08일 13시","○","대구","북구","대구광역시 북구보건소","대구광역시 북구 침산3동 521-2 (침산동 북구보건소)","11:00 ~ 17:00","11:00 ~ 16:00","11:00 ~ 16:00","053-665-3204",35.8918,128.589
"2020년 09월 08일 13시","○","대구","북구","대구가톨릭대학교 칠곡가톨릭병원","대구 북구 칠곡중앙대로 440","09:00 ~ 17:00","09:00 ~ 12:00","미운영","053-320-2071",35.9349,128.549
"2020년 09월 08일 13시","○","대구","서구","대구광역시 서구보건소","대구 서구 평리3동 1230-9(국채보상로257)","09:30 ~ 16:30","09:30 ~ 12:00","미운영","053-663-3176(3178)",35.8717,128.559
"2020년 09월 08일 13시","○","대구","중구","대구광역시 중구보건소","대구 중구 태평로3가(성내3동) 174-1 중구보건소","09:00 ~ 17:00","09:00 ~ 12:00","09:00 ~ 12:00","053-661-3111",35.8779,128.583
"2020년 09월 08일 13시","○","대구","수성구","수성구보건소","대구 수성구 중동 266-5(수성로213) ","09:00 ~ 18:00","09:00 ~ 12:00","09:00 ~ 12:00","053-666-3266",35.8448,128.612
"2020년 09월 08일 13시","○","인천","강화군","강화군보건소","인천 강화군 강화읍 남산리 324-1 강화군보건소","09:00 ~ 19:00","09:00 ~ 18:00","09:00 ~ 18:00","032-930-4007",37.7371,126.485
"2020년 09월 08일 13시","○","인천","강화군","비에스종합병원","충렬사로 31","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","032-290-0241",37.7311,126.478
"2020년 09월 08일 13시","○","인천","계양구","계양구보건소","인천 계양구 계산동 1079-1 ","09:00 ~ 18:00","09:00 ~ 18:00","14:00 ~ 18:00","032-430-7821",37.5372,126.738
"2020년 09월 08일 13시","○","인천","계양구","인성의료재단 한림병원","계양구 장재로 722","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","032-540-9118(~9)",37.5322,126.734
"2020년 09월 08일 13시","○","인천","계양구","메디플렉스 세종병원","계양구 계양문화로 20","09:30 ~ 16:30","09:30 ~ 11:30","미운영","032-240-8000",37.5324,126.737
"2020년 09월 08일 13시","○","인천","남동구","인천광역시남동구보건소","인천 남동구 만수동(만수6동) 1008 남동구청 남동구보건소 남동구보건소","09:00 ~ 20:00","09:00 ~ 20:00","09:00 ~ 20:00","032-466-3808",37.4478,126.73
"2020년 09월 08일 13시","○","인천","부평구","인천광역시부평구보건소","인천광역시 부평구 부평4동 442-1번지","9:0 ~ 18:0","9:0 ~ 18:0","9:0 ~ 18:0","032-509-3100",37.4989,126.723
"2020년 09월 08일 13시","○","인천","부평구","부평세림병원","인천광역시 부평구 부평대로 175","8:30 ~ 17:0","8:30 ~ 12:30","0:0 ~ 24:0","032-524-0591",37.5068,126.72
"2020년 09월 08일 13시","○","인천","부평구","가톨릭대학교 인천성모병원","인천광역시 부평구 동수로 56","8:30 ~ 17:0","8:30 ~ 12:0","미운영","032-1544-9004",37.4844,126.725
"2020년 09월 08일 13시","○","인천","부평구","근로복지공단 인천병원","인천광역시 부평구 무네미로 446","8:30 ~ 17:0","미운영","미운영","032-500-0114",37.4762,126.754
"2020년 09월 08일 13시","○","인천","연수구","연수구보건소","인천 연수구 청학동  465-2(함박뫼로 13호)","00:00 ~ 20:00","00:00 ~ 18:00","00:00 ~ 18:00","032-749-8174",37.4191,126.671
"2020년 09월 08일 13시","○","인천","연수구","나사렛국제병원","인천광역시 연수구 먼우금로 98 (동춘동_나사렛국제병원)","09:00 ~ 17:30","09:00 ~ 13:00","미운영","032-899-9999",37.408,126.671
"2020년 09월 08일 13시","○","인천","연수구","인천적십자병원","인천광역시 연수구 원인재로 263 (연수동_인천적십자병원)","08:30 ~ 17:00","08:30 ~ 12:00","미운영","032-899-4000",37.4191,126.689
"2020년 09월 08일 13시","○","인천","옹진군","옹진군보건소","인천광역시 미추홀구 매소홀로120","09:00 ~ 20:00","09:00 ~ 18:00","09:00 ~ 18:00","032-899-3130",37.4465,126.637
"2020년 09월 08일 13시","○","인천","옹진군","백령병원","인천광역시 백령로 233","09:00 ~ 18:00","09:00 ~ 18:00","09:18 ~ 00:00","032-836-1731",37.9625,124.701
"2020년 09월 08일 13시","○","인천","미추홀구","인천광역시미추홀구보건소","인천 미추홀구 도화동(도화1동) 357-1 미추홀구보건소","09:00 ~ 20:00","09:00 ~ 17:00","09:00 ~ 17:00","032-880-5333(~5)",37.461,126.677
"2020년 09월 08일 13시","○","인천","미추홀구","인천사랑병원","미추홀대로 726","08:30 ~ 17:30","08:30 ~ 12:30","미운영","032-457-2000",37.4621,126.681
